model_name,accuracy,f1_score,auc_micro,auc_class_0,fpr_class_0,tpr_class_0,auc_class_1,fpr_class_1,tpr_class_1,auc_class_2,fpr_class_2,tpr_class_2,fpr_micro,tpr_micro
RandomForest,0.8695652173913043,0.8695652173913043,0.8927221172022684,0.9563492063492064,"[0.0, 0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.8571428571428571, 1.0]","[0.0, 0.1111111111111111, 0.2222222222222222, 0.5555555555555556, 0.5555555555555556, 0.7777777777777778, 0.8888888888888888, 1.0, 1.0, 1.0]",0.9166666666666666,"[0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25, 0.3333333333333333, 0.5, 0.6666666666666666, 0.8333333333333334, 1.0]","[0.0, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5416666666666666,"[0.0, 0.0, 0.1, 0.25, 0.3, 0.4, 0.45, 0.5, 0.65, 0.75, 0.85, 0.95, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.021739130434782608, 0.021739130434782608, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.06521739130434782, 0.06521739130434782, 0.06521739130434782, 0.15217391304347827, 0.17391304347826086, 0.21739130434782608, 0.34782608695652173, 0.3695652173913043, 0.4782608695652174, 0.5434782608695652, 0.5869565217391305, 0.6304347826086957, 0.6521739130434783, 0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8478260869565217, 0.9347826086956522, 0.9782608695652174, 1.0]","[0.0, 0.043478260869565216, 0.13043478260869565, 0.17391304347826086, 0.30434782608695654, 0.34782608695652173, 0.4782608695652174, 0.5652173913043478, 0.6956521739130435, 0.7391304347826086, 0.8260869565217391, 0.8695652173913043, 0.8695652173913043, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 1.0, 1.0]"
MulticlassLogisticsRegression,0.8260869565217391,0.8260869565217391,0.9092627599243857,0.9523809523809524,"[0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",0.9545454545454546,"[0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25, 1.0]","[0.0, 0.09090909090909091, 0.6363636363636364, 0.6363636363636364, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]",0.75,"[0.0, 0.0, 0.1, 0.1, 0.65, 0.65, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.021739130434782608, 0.021739130434782608, 0.06521739130434782, 0.06521739130434782, 0.17391304347826086, 0.17391304347826086, 0.1956521739130435, 0.1956521739130435, 0.5, 0.5, 0.8260869565217391, 0.8260869565217391, 1.0]","[0.0, 0.043478260869565216, 0.391304347826087, 0.391304347826087, 0.6521739130434783, 0.6521739130434783, 0.8260869565217391, 0.8260869565217391, 0.8695652173913043, 0.8695652173913043, 0.9130434782608695, 0.9130434782608695, 0.9565217391304348, 0.9565217391304348, 1.0, 1.0]"
